,,,,,,GPS START,,,ELECTROFISHING POSITION,,,TOTAL ,,,,
TRIBUTARY,REACH,DATE,TIME,AIR TEMP,H2O TEMP,X,Y,SAMPLERS,START,STOP,SPECIES,LENGTH,WEIGHT,GENETICS,PASS NO.,COMMENTS
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,177,56,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,107,10,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,53,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,72,3,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,51,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,58,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,135,22,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,85,5,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,130,20,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,162,45,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,110,13,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,42,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,219,101,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,145,31,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,189,64,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,140,26,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,57,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,56,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,98,7,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,94,7,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,102,9,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,143,28,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,38,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,34,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,103,10,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,64,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,90,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,68,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,68,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,70,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,79,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,59,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,36,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,63,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,60,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,68,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,34,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,97,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,68,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,50,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,81,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,76,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,56,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,70,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,81,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,38,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,54,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,103,9,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,SCU,59,,,1,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,63,2,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,149,34,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,89,4,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,45,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,191,98,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,112,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,56,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,140,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,129,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,117,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,108,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,169,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,64,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,45,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,165,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,103,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,125,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,137,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,100,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,BKT,111,,,2,
Big Creek,2,7/30/13,1300,25,16,48.32094,116.82425,TA SH TR,2308,4105,WCT,43,,,2,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,WCT,95,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,BKT,121,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,BKT,189,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,WCT,107,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,BKT,70,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,WCT,173,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,WCT,97,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,WCT,154,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,BKT,64,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,BKT,69,,,3,
Big Creek,2,7/30/13,1350,25,16,48.32094,116.82425,TA SH TR,,,BKT,65,,,3,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,95,8,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,146,26,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,149,33,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,81,6,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,103,12,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,95,8,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,102,10,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,80,7,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,148,30,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,55,2,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,85,7,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,80,6,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,173,50,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,35,,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,39,,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,155,37,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,170,48,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,50,2,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,80,7,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,35,1,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,45,1,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,50,2,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,53,2,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,60,2,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,208,82,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,50,2,,1,
